MEAS_DT,TAG_CD,MEAS_VAL,STATUS
2026-04-13,MTR-22B09-CNV01-ACC,0.3066959,GOOD
2026-04-13,MTR-22B09-CNV01-ENV,0.3066959,GOOD
2026-04-13,MTR-22B09-CNV01-STATUS,1,GOOD
2026-04-13,MTR-22B09-CNV01-VEL,0.50741,GOOD
2026-04-13,MTR-22B12-CNV01-ACC,12.42376,GOOD
2026-04-13,MTR-22B12-CNV01-ENV,11.41399,GOOD
2026-04-13,MTR-22B12-CNV01-STATUS,1,GOOD
2026-04-13,MTR-22B12-CNV01-VEL,4.923609,GOOD
2026-04-14,MTR-21A01-CNV01-ACC,8.978632,GOOD
2026-04-14,MTR-21A01-CNV01-ENV,5.077265,GOOD
2026-04-14,MTR-21A01-CNV01-STATUS,1,GOOD
2026-04-14,MTR-21A01-CNV01-VEL,2.355494,GOOD
2026-04-14,MTR-21A09-CNV01-ACC,12.40945,GOOD
2026-04-14,MTR-21A09-CNV01-ENV,11.87982,GOOD
2026-04-14,MTR-21A09-CNV01-STATUS,0,GOOD
2026-04-14,MTR-21A09-CNV01-VEL,8.306057,GOOD
2026-04-14,MTR-21A12-CNV01-ACC,5.326471,GOOD
2026-04-14,MTR-21A12-CNV01-ENV,2.787897,GOOD
2026-04-14,MTR-21A12-CNV01-STATUS,1,GOOD
2026-04-14,MTR-21A12-CNV01-VEL,1.087275,GOOD
2026-04-14,MTR-22B01-CNV01-ACC,2.925104,GOOD
2026-04-14,MTR-22B01-CNV01-ENV,3.003443,GOOD
2026-04-14,MTR-22B01-CNV01-STATUS,1,GOOD
2026-04-14,MTR-22B01-CNV01-VEL,1.127131,GOOD
2026-04-14,MTR-22B09-CNV01-ACC,0.4271793,GOOD
2026-04-14,MTR-22B09-CNV01-ENV,0.4271793,GOOD
2026-04-14,MTR-22B09-CNV01-STATUS,1,GOOD
2026-04-14,MTR-22B09-CNV01-VEL,0.2062016,GOOD
2026-04-14,MTR-22B12-CNV01-ACC,12.29803,GOOD
2026-04-14,MTR-22B12-CNV01-ENV,11.25085,GOOD
2026-04-14,MTR-22B12-CNV01-STATUS,1,GOOD
2026-04-14,MTR-22B12-CNV01-VEL,5.479548,GOOD
2026-04-15,MTR-21A01-CNV01-ACC,9.182091,GOOD
2026-04-15,MTR-21A01-CNV01-ENV,5.115625,GOOD
2026-04-15,MTR-21A01-CNV01-STATUS,1,GOOD
2026-04-15,MTR-21A01-CNV01-VEL,2.552271,GOOD
2026-04-15,MTR-21A09-CNV01-ACC,12.93661,GOOD
2026-04-15,MTR-21A09-CNV01-ENV,12.72274,GOOD
2026-04-15,MTR-21A09-CNV01-STATUS,0,GOOD
2026-04-15,MTR-21A09-CNV01-VEL,11.23095,GOOD
2026-04-15,MTR-21A12-CNV01-ACC,6.336542,GOOD
2026-04-15,MTR-21A12-CNV01-ENV,3.802912,GOOD
2026-04-15,MTR-21A12-CNV01-STATUS,1,GOOD
2026-04-15,MTR-21A12-CNV01-VEL,1.564692,GOOD
2026-04-15,MTR-22B01-CNV01-ACC,2.059656,GOOD
2026-04-15,MTR-22B01-CNV01-ENV,2.434259,GOOD
2026-04-15,MTR-22B01-CNV01-STATUS,1,GOOD
2026-04-15,MTR-22B01-CNV01-VEL,0.9276371,GOOD
2026-04-15,MTR-22B09-CNV01-ACC,0.3870487,GOOD
2026-04-15,MTR-22B09-CNV01-ENV,0.2464237,GOOD
2026-04-15,MTR-22B09-CNV01-STATUS,1,GOOD
2026-04-15,MTR-22B09-CNV01-VEL,0.2263126,GOOD
2026-04-15,MTR-22B12-CNV01-ACC,13.85552,GOOD
2026-04-15,MTR-22B12-CNV01-ENV,12.53304,GOOD
2026-04-15,MTR-22B12-CNV01-STATUS,0,GOOD
2026-04-15,MTR-22B12-CNV01-VEL,9.785912,GOOD
2026-04-16,MTR-21A01-CNV01-ACC,8.978632,GOOD
2026-04-16,MTR-21A01-CNV01-ENV,5.555994,GOOD
2026-04-16,MTR-21A01-CNV01-STATUS,1,GOOD
2026-04-16,MTR-21A01-CNV01-VEL,2.414576,GOOD
2026-04-16,MTR-21A09-CNV01-ACC,13.86959,GOOD
2026-04-16,MTR-21A09-CNV01-ENV,13.52676,GOOD
2026-04-16,MTR-21A09-CNV01-STATUS,0,GOOD
2026-04-16,MTR-21A09-CNV01-VEL,11.84664,GOOD
2026-04-16,MTR-21A12-CNV01-ACC,7.054926,GOOD
2026-04-16,MTR-21A12-CNV01-ENV,5.000452,GOOD
2026-04-16,MTR-21A12-CNV01-STATUS,1,GOOD
2026-04-16,MTR-21A12-CNV01-VEL,1.723322,GOOD
2026-04-16,MTR-22B01-CNV01-ACC,0.2263126,GOOD
2026-04-16,MTR-22B01-CNV01-ENV,0.326807,GOOD
2026-04-16,MTR-22B01-CNV01-STATUS,1,GOOD
2026-04-16,MTR-22B01-CNV01-VEL,0.48736,GOOD
2026-04-16,MTR-22B09-CNV01-ACC,0.326807,GOOD
2026-04-16,MTR-22B09-CNV01-ENV,0.2464237,GOOD
2026-04-16,MTR-22B09-CNV01-STATUS,1,GOOD
2026-04-16,MTR-22B09-CNV01-VEL,0.4070988,GOOD
2026-04-16,MTR-22B12-CNV01-ACC,14.62429,GOOD
2026-04-16,MTR-22B12-CNV01-ENV,14.91994,GOOD
2026-04-16,MTR-22B12-CNV01-STATUS,0,GOOD
2026-04-16,MTR-22B12-CNV01-VEL,13.50438,GOOD
2026-04-17,MTR-21A01-CNV01-ACC,9.01565,GOOD
2026-04-17,MTR-21A01-CNV01-ENV,5.670588,GOOD
2026-04-17,MTR-21A01-CNV01-STATUS,1,GOOD
2026-04-17,MTR-21A01-CNV01-VEL,2.552271,GOOD
2026-04-17,MTR-21A09-CNV01-ACC,16.59271,GOOD
2026-04-17,MTR-21A09-CNV01-ENV,15.8078,GOOD
2026-04-17,MTR-21A09-CNV01-STATUS,0,GOOD
2026-04-17,MTR-21A09-CNV01-VEL,12.89157,GOOD
2026-04-17,MTR-21A12-CNV01-ACC,7.337214,GOOD
2026-04-17,MTR-21A12-CNV01-ENV,6.108667,GOOD
2026-04-17,MTR-21A12-CNV01-STATUS,1,GOOD
2026-04-17,MTR-21A12-CNV01-VEL,2.039881,GOOD
2026-04-17,MTR-22B01-CNV01-ACC,14.6196,GOOD
2026-04-17,MTR-22B01-CNV01-ENV,11.41968,GOOD
2026-04-17,MTR-22B01-CNV01-STATUS,0,GOOD
2026-04-17,MTR-22B01-CNV01-VEL,6.999273,GOOD
2026-04-17,MTR-22B09-CNV01-ACC,0.3066959,GOOD
2026-04-17,MTR-22B09-CNV01-ENV,0.1659794,GOOD
2026-04-17,MTR-22B09-CNV01-STATUS,1,GOOD
2026-04-17,MTR-22B09-CNV01-VEL,0.2464237,GOOD
2026-04-17,MTR-22B12-CNV01-ACC,14.43258,GOOD
2026-04-17,MTR-22B12-CNV01-ENV,14.76351,GOOD
2026-04-17,MTR-22B12-CNV01-STATUS,0,GOOD
2026-04-17,MTR-22B12-CNV01-VEL,8.781487,GOOD
2026-04-18,MTR-21A01-CNV01-ACC,9.182091,GOOD
2026-04-18,MTR-21A01-CNV01-ENV,5.861261,GOOD
2026-04-18,MTR-21A01-CNV01-STATUS,1,GOOD
2026-04-18,MTR-21A01-CNV01-VEL,2.512934,GOOD
